iso3c,country,income_group,label_code,label_name,gini_coverage,delta_gini,delta_tert,delta_comp,gini_first,gini_first_yr,gini_last,gini_last_yr,tert_first,tert_first_yr,tert_last,tert_last_yr,label_reason
CRI,Costa Rica,High income,EE,Equity Expander,1.0,-2.6,3.736,-32.522,48.4,2015.0,45.8,2024.0,51.2845802307129,2015,55.0202903747559,2019,ΔGini=-2.6 pp ≤ -0.5 pp  AND  ΔTert=+3.7 pp ≥ +2.0 pp
ESP,Spain,High income,EE,Equity Expander,0.9,-2.8,5.238,-6.598,36.2,2015.0,33.4,2023.0,88.5305328369141,2015,93.7689666748047,2024,ΔGini=-2.8 pp ≤ -0.5 pp  AND  ΔTert=+5.2 pp ≥ +2.0 pp
URY,Uruguay,High income,AE,Access Expander,1.0,-0.1,22.164,0.0,40.1,2015.0,40.0,2024.0,57.7897211461691,2015,79.9536903496537,2023,"ΔTert=+22.2 pp ≥ +2.0 pp  (ΔGini=-0.1 pp, not declining sufficiently)"
GEO,Georgia,Upper middle income,EE,Equity Expander,1.0,-2.6,26.36,-14.148,36.5,2015.0,33.9,2024.0,51.9050659422441,2015,78.2652247393707,2023,ΔGini=-2.6 pp ≤ -0.5 pp  AND  ΔTert=+26.4 pp ≥ +2.0 pp
IDN,Indonesia,Upper middle income,EE,Equity Expander,1.0,-3.3,12.422,-62.276,38.2,2015.0,34.9,2024.0,32.4590200433758,2015,44.8813034886441,2023,ΔGini=-3.3 pp ≤ -0.5 pp  AND  ΔTert=+12.4 pp ≥ +2.0 pp
THA,Thailand,Upper middle income,IR,Inequality Reducer,1.0,-2.7,-0.729,0.0,36.0,2015.0,33.3,2024.0,45.713134717198,2015,44.9845744019321,2024,"ΔGini=-2.7 pp ≤ -0.5 pp  (ΔTert=-0.7 pp, not expanding sufficiently)"
BGD,Bangladesh,Lower middle income,EE,Equity Expander,0.2,-1.5,8.156,30.298,32.4,2016.0,30.9,2022.0,15.5739926180902,2015,23.7295608009814,2024,ΔGini=-1.5 pp ≤ -0.5 pp  AND  ΔTert=+8.2 pp ≥ +2.0 pp
KGZ,Kyrgyz Republic,Lower middle income,EE,Equity Expander,1.0,-1.5,6.625,2.758,29.0,2015.0,27.5,2024.0,46.5495890237956,2015,53.1743590503791,2024,ΔGini=-1.5 pp ≤ -0.5 pp  AND  ΔTert=+6.6 pp ≥ +2.0 pp
UZB,Uzbekistan,Lower middle income,AE,Access Expander,0.4,1.7,48.464,8.277,32.9,2021.0,34.6,2024.0,8.05320814639575,2015,56.517478700865,2024,"ΔTert=+48.5 pp ≥ +2.0 pp  (ΔGini=+1.7 pp, not declining sufficiently)"
BDI,Burundi,Low income,DL,Data-Limited,0.1,,0.767,-94.205,,,,,5.25856537918645,2015,6.02545976638794,2023,Gini coverage 10% < 20% threshold
BFA,Burkina Faso,Low income,EE,Equity Expander,0.4,-5.6,5.138,5.562,43.0,2018.0,37.4,2021.0,4.90356866333498,2015,10.0419678526515,2024,ΔGini=-5.6 pp ≤ -0.5 pp  AND  ΔTert=+5.1 pp ≥ +2.0 pp
RWA,Rwanda,Low income,IR,Inequality Reducer,0.2,-4.3,1.88,-26.357,43.7,2016.0,39.4,2023.0,7.53124856448318,2015,9.41173924647801,2024,"ΔGini=-4.3 pp ≤ -0.5 pp  (ΔTert=+1.9 pp, not expanding sufficiently)"
