iso3c,country,income_group,nice,years_available,coverage_share
ASM,American Samoa,High income,adult_literacy,0,0.0
ASM,American Samoa,High income,ctrl_corrup,0,0.0
ASM,American Samoa,High income,edu_spend_gdp,0,0.0
ASM,American Samoa,High income,gdp_pc_ppp,0,0.0
ASM,American Samoa,High income,gini,0,0.0
ASM,American Samoa,High income,gov_effect,0,0.0
ASM,American Samoa,High income,gpi_sec,0,0.0
ASM,American Samoa,High income,gpi_tert,0,0.0
ASM,American Samoa,High income,inc_share_low20,0,0.0
ASM,American Samoa,High income,pop_total,10,1.0
ASM,American Samoa,High income,poverty_215,0,0.0
ASM,American Samoa,High income,sec_completion,0,0.0
ASM,American Samoa,High income,sec_enrol_gross,0,0.0
ASM,American Samoa,High income,tert_enrol_gross,0,0.0
ASM,American Samoa,High income,voice_account,0,0.0
ASM,American Samoa,High income,work_age_share,10,1.0
ASM,American Samoa,High income,youth_literacy,0,0.0
AND,Andorra,High income,adult_literacy,0,0.0
AND,Andorra,High income,ctrl_corrup,9,0.9
AND,Andorra,High income,edu_spend_gdp,9,0.9
AND,Andorra,High income,gdp_pc_ppp,10,1.0
AND,Andorra,High income,gini,0,0.0
AND,Andorra,High income,gov_effect,9,0.9
AND,Andorra,High income,gpi_sec,10,1.0
AND,Andorra,High income,gpi_tert,10,1.0
AND,Andorra,High income,inc_share_low20,0,0.0
AND,Andorra,High income,pop_total,10,1.0
AND,Andorra,High income,poverty_215,0,0.0
AND,Andorra,High income,sec_completion,10,1.0
AND,Andorra,High income,sec_enrol_gross,10,1.0
AND,Andorra,High income,tert_enrol_gross,10,1.0
AND,Andorra,High income,voice_account,9,0.9
AND,Andorra,High income,work_age_share,10,1.0
AND,Andorra,High income,youth_literacy,0,0.0
ATG,Antigua and Barbuda,High income,adult_literacy,0,0.0
ATG,Antigua and Barbuda,High income,ctrl_corrup,9,0.9
ATG,Antigua and Barbuda,High income,edu_spend_gdp,9,0.9
ATG,Antigua and Barbuda,High income,gdp_pc_ppp,10,1.0
ATG,Antigua and Barbuda,High income,gini,0,0.0
ATG,Antigua and Barbuda,High income,gov_effect,9,0.9
ATG,Antigua and Barbuda,High income,gpi_sec,3,0.3
ATG,Antigua and Barbuda,High income,gpi_tert,5,0.5
ATG,Antigua and Barbuda,High income,inc_share_low20,0,0.0
ATG,Antigua and Barbuda,High income,pop_total,10,1.0
ATG,Antigua and Barbuda,High income,poverty_215,0,0.0
ATG,Antigua and Barbuda,High income,sec_completion,6,0.6
ATG,Antigua and Barbuda,High income,sec_enrol_gross,7,0.7
ATG,Antigua and Barbuda,High income,tert_enrol_gross,0,0.0
ATG,Antigua and Barbuda,High income,voice_account,9,0.9
ATG,Antigua and Barbuda,High income,work_age_share,10,1.0
