iso3c,country,income_group,adult_literacy,ctrl_corrup,edu_spend_gdp,gdp_pc_ppp,gini,gov_effect,gpi_sec,gpi_tert,inc_share_low20,pop_total,poverty_215,sec_completion,sec_enrol_gross,tert_enrol_gross,voice_account,work_age_share,youth_literacy,indicators_observed,overall_coverage
URY,Uruguay,High income,0.9,0.9,0.9,1.0,1.0,0.9,0.8,0.7,1.0,1.0,1.0,0.9,0.9,0.9,0.9,1.0,1.0,17,0.9235294117647059
ESP,Spain,High income,0.5,0.9,0.8,1.0,0.9,0.9,1.0,1.0,0.9,1.0,0.9,1.0,1.0,1.0,0.9,1.0,0.5,17,0.8941176470588236
PAN,Panama,High income,0.5,0.9,0.9,1.0,0.8,0.9,0.8,0.8,0.8,1.0,0.8,0.9,0.8,0.6,0.9,1.0,0.9,17,0.8411764705882353
AUT,Austria,High income,0.0,0.9,0.8,1.0,0.9,0.9,1.0,1.0,0.9,1.0,0.9,1.0,1.0,1.0,0.9,1.0,0.0,15,0.8352941176470589
BGR,Bulgaria,High income,0.0,0.9,0.8,1.0,0.9,0.9,1.0,1.0,0.9,1.0,0.9,1.0,1.0,1.0,0.9,1.0,0.0,15,0.8352941176470589
CRI,Costa Rica,High income,0.0,0.9,0.9,1.0,1.0,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.9,1.0,0.1,16,0.8352941176470589
EST,Estonia,High income,0.0,0.9,0.8,1.0,0.9,0.9,1.0,1.0,0.9,1.0,0.9,1.0,1.0,1.0,0.9,1.0,0.0,15,0.8352941176470589
FIN,Finland,High income,0.0,0.9,0.8,1.0,0.9,0.9,1.0,1.0,0.9,1.0,0.9,1.0,1.0,1.0,0.9,1.0,0.0,15,0.8352941176470589
LVA,Latvia,High income,0.0,0.9,0.8,1.0,0.9,0.9,1.0,1.0,0.9,1.0,0.9,1.0,1.0,1.0,0.9,1.0,0.0,15,0.8352941176470589
NOR,Norway,High income,0.0,0.9,0.8,1.0,0.9,0.9,1.0,1.0,0.9,1.0,0.9,1.0,1.0,1.0,0.9,1.0,0.0,15,0.8352941176470589
SVK,Slovak Republic,High income,0.0,0.9,0.8,1.0,0.9,0.9,1.0,1.0,0.9,1.0,0.9,1.0,1.0,1.0,0.9,1.0,0.0,15,0.8352941176470589
SWE,Sweden,High income,0.0,0.9,0.8,1.0,0.9,0.9,1.0,1.0,0.9,1.0,0.9,1.0,1.0,1.0,0.9,1.0,0.0,15,0.8352941176470589
DNK,Denmark,High income,0.0,0.9,0.7,1.0,0.9,0.9,1.0,1.0,0.9,1.0,0.9,1.0,1.0,1.0,0.9,1.0,0.0,15,0.8294117647058824
LUX,Luxembourg,High income,0.0,0.9,0.7,1.0,0.9,0.9,1.0,1.0,0.9,1.0,0.9,1.0,1.0,1.0,0.9,1.0,0.0,15,0.8294117647058824
ISR,Israel,High income,0.0,0.9,0.8,1.0,0.8,0.9,1.0,1.0,0.8,1.0,0.8,1.0,1.0,1.0,0.9,1.0,0.0,15,0.8176470588235295
ITA,Italy,High income,0.1,0.9,0.8,1.0,0.9,0.9,0.9,0.9,0.9,1.0,0.9,0.9,0.9,0.9,0.9,1.0,0.1,17,0.8176470588235295
CHE,Switzerland,High income,0.0,0.9,0.8,1.0,0.8,0.9,0.9,1.0,0.8,1.0,0.8,1.0,1.0,1.0,0.9,1.0,0.0,15,0.811764705882353
LTU,Lithuania,High income,0.0,0.9,0.8,1.0,0.9,0.9,0.6,1.0,0.9,1.0,0.9,1.0,1.0,1.0,0.9,1.0,0.0,15,0.8117647058823529
ROU,Romania,High income,0.1,0.9,0.8,1.0,0.9,0.9,0.8,0.9,0.9,1.0,0.9,0.9,0.9,0.9,0.9,1.0,0.1,17,0.8117647058823529
BEL,Belgium,High income,0.0,0.9,0.8,1.0,0.9,0.9,0.9,0.9,0.9,1.0,0.9,0.9,0.9,0.9,0.9,1.0,0.0,15,0.8058823529411766
