nice,source,wb_code,rows,uis_code
gini,wdi,SI.POV.GINI,2170,
inc_share_low20,wdi,SI.DST.FRST.20,2170,
poverty_215,wdi,SI.POV.DDAY,2170,
tert_enrol_gross,wdi,SE.TER.ENRR,2170,
edu_spend_gdp,wdi,SE.XPD.TOTL.GD.ZS,2170,
gdp_pc_ppp,wdi,NY.GDP.PCAP.PP.KD,2170,
pop_total,wdi,SP.POP.TOTL,2170,
work_age_share,wdi,SP.POP.1564.TO.ZS,2170,
gov_effect,wgi,GE.EST,1737,
voice_account,wgi,VA.EST,1737,
ctrl_corrup,wgi,CC.EST,1737,
sec_enrol_gross,uis,,1378,NERT.2.CP
sec_enrol_gross,wdi_fallback,SE.SEC.ENRR,2170,
sec_completion,uis,,889,TRTP.1
sec_completion,wdi_fallback,SE.SEC.CMPT.LO.ZS,2170,
adult_literacy,uis,,439,LR.AG15T99
adult_literacy,wdi_fallback,SE.ADT.LITR.ZS,2170,
youth_literacy,uis,,481,LR.AG15T24
youth_literacy,wdi_fallback,SE.ADT.1524.LT.ZS,2170,
gpi_sec,uis,,1124,NERT.2.GPIA
gpi_sec,wdi_fallback,SE.ENR.SECO.FM.ZS,2170,
gpi_tert,uis,,1485,GER.2.GPIA
gpi_tert,wdi_fallback,SE.ENR.TERT.FM.ZS,2170,
