iso3c,country,nice,year,value,_source,avail
ABW,Aruba,gini,2024,,wdi,0
ABW,Aruba,gini,2023,,wdi,0
ABW,Aruba,gini,2022,,wdi,0
ABW,Aruba,gini,2021,,wdi,0
ABW,Aruba,gini,2020,,wdi,0
ABW,Aruba,gini,2019,,wdi,0
ABW,Aruba,gini,2018,,wdi,0
ABW,Aruba,gini,2017,,wdi,0
ABW,Aruba,gini,2016,,wdi,0
ABW,Aruba,gini,2015,,wdi,0
AFG,Afghanistan,gini,2024,,wdi,0
AFG,Afghanistan,gini,2023,,wdi,0
AFG,Afghanistan,gini,2022,,wdi,0
AFG,Afghanistan,gini,2021,,wdi,0
AFG,Afghanistan,gini,2020,,wdi,0
AFG,Afghanistan,gini,2019,,wdi,0
AFG,Afghanistan,gini,2018,,wdi,0
AFG,Afghanistan,gini,2017,,wdi,0
AFG,Afghanistan,gini,2016,,wdi,0
AFG,Afghanistan,gini,2015,,wdi,0
AGO,Angola,gini,2024,,wdi,0
AGO,Angola,gini,2023,,wdi,0
AGO,Angola,gini,2022,,wdi,0
AGO,Angola,gini,2021,,wdi,0
AGO,Angola,gini,2020,,wdi,0
AGO,Angola,gini,2019,,wdi,0
AGO,Angola,gini,2018,51.3,wdi,1
AGO,Angola,gini,2017,,wdi,0
AGO,Angola,gini,2016,,wdi,0
AGO,Angola,gini,2015,,wdi,0
ALB,Albania,gini,2024,,wdi,0
ALB,Albania,gini,2023,,wdi,0
ALB,Albania,gini,2022,,wdi,0
ALB,Albania,gini,2021,,wdi,0
ALB,Albania,gini,2020,29.4,wdi,1
ALB,Albania,gini,2019,30.1,wdi,1
ALB,Albania,gini,2018,30.1,wdi,1
ALB,Albania,gini,2017,33.1,wdi,1
ALB,Albania,gini,2016,33.7,wdi,1
ALB,Albania,gini,2015,32.8,wdi,1
AND,Andorra,gini,2024,,wdi,0
AND,Andorra,gini,2023,,wdi,0
AND,Andorra,gini,2022,,wdi,0
AND,Andorra,gini,2021,,wdi,0
AND,Andorra,gini,2020,,wdi,0
AND,Andorra,gini,2019,,wdi,0
AND,Andorra,gini,2018,,wdi,0
AND,Andorra,gini,2017,,wdi,0
AND,Andorra,gini,2016,,wdi,0
AND,Andorra,gini,2015,,wdi,0
ARE,United Arab Emirates,gini,2024,,wdi,0
ARE,United Arab Emirates,gini,2023,,wdi,0
ARE,United Arab Emirates,gini,2022,,wdi,0
ARE,United Arab Emirates,gini,2021,,wdi,0
ARE,United Arab Emirates,gini,2020,,wdi,0
ARE,United Arab Emirates,gini,2019,,wdi,0
ARE,United Arab Emirates,gini,2018,26.4,wdi,1
ARE,United Arab Emirates,gini,2017,,wdi,0
ARE,United Arab Emirates,gini,2016,,wdi,0
ARE,United Arab Emirates,gini,2015,,wdi,0
ARG,Argentina,gini,2024,42.4,wdi,1
ARG,Argentina,gini,2023,42.4,wdi,1
ARG,Argentina,gini,2022,40.7,wdi,1
ARG,Argentina,gini,2021,42.4,wdi,1
ARG,Argentina,gini,2020,42.7,wdi,1
ARG,Argentina,gini,2019,43.3,wdi,1
ARG,Argentina,gini,2018,41.7,wdi,1
ARG,Argentina,gini,2017,41.4,wdi,1
ARG,Argentina,gini,2016,42.3,wdi,1
ARG,Argentina,gini,2015,,wdi,0
ARM,Armenia,gini,2024,27.4,wdi,1
ARM,Armenia,gini,2023,27.2,wdi,1
ARM,Armenia,gini,2022,27.9,wdi,1
ARM,Armenia,gini,2021,27.9,wdi,1
ARM,Armenia,gini,2020,25.1,wdi,1
ARM,Armenia,gini,2019,30.0,wdi,1
ARM,Armenia,gini,2018,34.4,wdi,1
ARM,Armenia,gini,2017,33.6,wdi,1
ARM,Armenia,gini,2016,32.5,wdi,1
ARM,Armenia,gini,2015,32.4,wdi,1
ASM,American Samoa,gini,2024,,wdi,0
ASM,American Samoa,gini,2023,,wdi,0
ASM,American Samoa,gini,2022,,wdi,0
ASM,American Samoa,gini,2021,,wdi,0
ASM,American Samoa,gini,2020,,wdi,0
ASM,American Samoa,gini,2019,,wdi,0
ASM,American Samoa,gini,2018,,wdi,0
ASM,American Samoa,gini,2017,,wdi,0
ASM,American Samoa,gini,2016,,wdi,0
ASM,American Samoa,gini,2015,,wdi,0
ATG,Antigua and Barbuda,gini,2024,,wdi,0
ATG,Antigua and Barbuda,gini,2023,,wdi,0
ATG,Antigua and Barbuda,gini,2022,,wdi,0
ATG,Antigua and Barbuda,gini,2021,,wdi,0
ATG,Antigua and Barbuda,gini,2020,,wdi,0
ATG,Antigua and Barbuda,gini,2019,,wdi,0
ATG,Antigua and Barbuda,gini,2018,,wdi,0
ATG,Antigua and Barbuda,gini,2017,,wdi,0
ATG,Antigua and Barbuda,gini,2016,,wdi,0
ATG,Antigua and Barbuda,gini,2015,,wdi,0
AUS,Australia,gini,2024,,wdi,0
AUS,Australia,gini,2023,,wdi,0
AUS,Australia,gini,2022,,wdi,0
AUS,Australia,gini,2021,,wdi,0
AUS,Australia,gini,2020,33.8,wdi,1
AUS,Australia,gini,2019,,wdi,0
AUS,Australia,gini,2018,34.3,wdi,1
AUS,Australia,gini,2017,,wdi,0
AUS,Australia,gini,2016,33.7,wdi,1
AUS,Australia,gini,2015,,wdi,0
AUT,Austria,gini,2024,,wdi,0
AUT,Austria,gini,2023,31.2,wdi,1
AUT,Austria,gini,2022,30.9,wdi,1
AUT,Austria,gini,2021,30.7,wdi,1
AUT,Austria,gini,2020,29.8,wdi,1
AUT,Austria,gini,2019,30.2,wdi,1
AUT,Austria,gini,2018,30.8,wdi,1
AUT,Austria,gini,2017,29.7,wdi,1
AUT,Austria,gini,2016,30.8,wdi,1
