rank_in_group,iso3c,country,income_group,indicators_observed,overall_coverage,gini,inc_share_low20,poverty_215,sec_enrol_gross,tert_enrol_gross,sec_completion,adult_literacy,youth_literacy,gpi_sec,gpi_tert,edu_spend_gdp,gdp_pc_ppp,pop_total,work_age_share,gov_effect,voice_account,ctrl_corrup
1,URY,Uruguay,High income,17,0.9235294117647059,1.0,1.0,1.0,0.9,0.9,0.9,0.9,1.0,0.8,0.7,0.9,1.0,1.0,1.0,0.9,0.9,0.9
2,ESP,Spain,High income,17,0.8941176470588236,0.9,0.9,0.9,1.0,1.0,1.0,0.5,0.5,1.0,1.0,0.8,1.0,1.0,1.0,0.9,0.9,0.9
3,PAN,Panama,High income,17,0.8411764705882353,0.8,0.8,0.8,0.8,0.6,0.9,0.5,0.9,0.8,0.8,0.9,1.0,1.0,1.0,0.9,0.9,0.9
1,DOM,Dominican Republic,Upper middle income,17,0.9647058823529413,1.0,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0,0.9,1.0,1.0,1.0,0.9,0.9,0.9
2,SLV,El Salvador,Upper middle income,17,0.9411764705882353,0.8,0.8,0.8,1.0,1.0,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,0.9
3,ARM,Armenia,Upper middle income,17,0.9352941176470589,1.0,1.0,1.0,1.0,1.0,0.9,0.7,0.7,1.0,1.0,0.9,1.0,1.0,1.0,0.9,0.9,0.9
1,BOL,Bolivia,Lower middle income,16,0.8823529411764707,1.0,1.0,1.0,1.0,0.0,1.0,0.4,0.9,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,0.9
2,KGZ,Kyrgyz Republic,Lower middle income,15,0.8588235294117648,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.9,1.0,1.0,1.0,0.9,0.9,0.9
3,HND,Honduras,Lower middle income,17,0.8294117647058824,0.7,0.7,0.7,0.9,0.6,0.6,0.7,0.7,0.9,1.0,0.9,1.0,1.0,1.0,0.9,0.9,0.9
1,BFA,Burkina Faso,Low income,17,0.7647058823529412,0.2,0.2,0.2,1.0,1.0,1.0,0.5,0.4,1.0,1.0,0.8,1.0,1.0,1.0,0.9,0.9,0.9
2,RWA,Rwanda,Low income,17,0.7411764705882353,0.2,0.2,0.2,0.9,0.9,0.9,0.3,0.4,0.9,1.0,1.0,1.0,1.0,1.0,0.9,0.9,0.9
3,TGO,Togo,Low income,17,0.7352941176470589,0.3,0.3,0.3,0.9,0.6,1.0,0.4,0.4,0.9,0.8,0.9,1.0,1.0,1.0,0.9,0.9,0.9
