,gini,inc_share_low20,poverty_215,sec_enrol_gross,tert_enrol_gross,sec_completion,adult_literacy,youth_literacy,gpi_sec,gpi_tert,edu_spend_gdp,gdp_pc_ppp,pop_total,work_age_share,gov_effect,voice_account,ctrl_corrup
gini,82,82,82,81,73,81,48,52,75,79,75,82,82,82,75,75,75
inc_share_low20,82,82,82,81,73,81,48,52,75,79,75,82,82,82,75,75,75
poverty_215,82,82,82,81,73,81,48,52,75,79,75,82,82,82,75,75,75
sec_enrol_gross,81,81,81,115,106,115,70,75,109,113,107,115,115,115,105,105,105
tert_enrol_gross,73,73,73,106,107,106,67,72,102,105,100,107,107,107,100,100,100
sec_completion,81,81,81,115,106,115,70,75,109,113,107,115,115,115,105,105,105
adult_literacy,48,48,48,70,67,70,71,70,67,68,70,71,71,71,69,69,69
youth_literacy,52,52,52,75,72,75,70,76,72,73,75,76,76,76,74,74,74
gpi_sec,75,75,75,109,102,109,67,72,109,107,103,109,109,109,102,102,102
gpi_tert,79,79,79,113,105,113,68,73,107,116,106,116,116,116,106,106,106
edu_spend_gdp,75,75,75,107,100,107,70,75,103,106,108,108,108,108,105,105,105
gdp_pc_ppp,82,82,82,115,107,115,71,76,109,116,108,120,120,120,108,108,108
pop_total,82,82,82,115,107,115,71,76,109,116,108,120,120,120,108,108,108
work_age_share,82,82,82,115,107,115,71,76,109,116,108,120,120,120,108,108,108
gov_effect,75,75,75,105,100,105,69,74,102,106,105,108,108,108,108,108,108
voice_account,75,75,75,105,100,105,69,74,102,106,105,108,108,108,108,108,108
ctrl_corrup,75,75,75,105,100,105,69,74,102,106,105,108,108,108,108,108,108
